,Player,Team,Nota
0,Accez,Liberty,76.0
1,Aegis,RED Canids,88.0
2,Avenger,RED Canids,73.0
3,Ayu,FURIA,82.0
4,Boal,RED Canids,85.0
5,Bounty,Vivo Keyd Stars,64.0
6,Brance,Fluxo,83.0
7,Bvoy,paiN Gaming,90.0
8,CarioK,paiN Gaming,83.0
9,Cavalo,Liberty,69.0
10,Ceos,LOUD,88.0
11,Croc,LOUD,84.0
12,Damage,paiN Gaming,82.0
13,Disamis,Fluxo,81.0
14,DudsTheBoy,KaBuM! Esports,75.0
15,dyNquedo,paiN Gaming,92.0
16,Envy,FURIA,81.0
17,fNb,FURIA,78.0
18,Goot,FURIA,76.0
19,Grell,Vivo Keyd Stars,87.0
20,Grevthar,Vivo Keyd Stars,78.0
21,GUIGO,Vivo Keyd Stars,83.0
22,Guigs,KaBuM! Esports,69.0
23,Hauz,Fluxo,87.0
24,HiRit,Los Grandes,81.0
25,Hugato,Vivo Keyd Stars,67.0
26,Jojo,Fluxo,84.0
27,Juliera,Liberty,70.0
28,Kiari,Liberty,72.0
29,Krastyel,Vivo Keyd Stars,71.0
30,Kuri,RED Canids,87.0
31,Lava,Los Grandes,77.0
32,Lonely,KaBuM! Esports,81.0
33,micaO,Vivo Keyd Stars,68.0
34,Netuno,Los Grandes,91.0
35,Nia,INTZ,69.0
36,NinjaKiwi,INTZ,78.0
37,NOsFerus,INTZ,75.0
38,Piloto,Liberty,61.0
39,Ranger,Los Grandes,85.0
40,RAV3N,KaBuM! Esports,71.0
41,RedBert,FURIA,77.0
42,Robo,LOUD,85.0
43,Route,LOUD,87.0
44,scamber,RED Canids,77.0
45,scary,KaBuM! Esports,74.0
46,Scuro,KaBuM! Esports,74.0
47,ST3PZ,Vivo Keyd Stars,68.0
48,Sting,Vivo Keyd Stars,58.0
49,Tay,Fluxo,81.0
50,tinowns,LOUD,90.0
51,TitaN,RED Canids,89.0
52,Trigo,FURIA,81.0
53,Wizer,paiN Gaming,87.0
54,Yampi,INTZ,75.0
55,Yuri,KaBuM! Esports,70.0
56,zay,Los Grandes,82.0
57,Zzk,INTZ,68.0
